ID,exit,entry,Run,Frames
50,3783.0,2265.0,12,1518.0
51,3436.0,2182.0,12,1254.0
52,3122.0,1826.0,12,1296.0
53,2299.0,1257.0,12,1042.0
54,2563.0,1372.0,12,1191.0
55,2122.0,1140.0,12,982.0
57,4324.0,2946.0,12,1378.0
58,3786.0,2477.0,12,1309.0
59,4322.0,2811.0,12,1511.0
6,3695.0,2368.0,12,1327.0
60,4075.0,2610.0,12,1465.0
61,3007.0,1815.0,12,1192.0
62,2494.0,1419.0,12,1075.0
63,3224.0,1935.0,12,1289.0
64,2337.0,1314.0,12,1023.0
65,2154.0,1151.0,12,1003.0
66,2055.0,925.0,12,1130.0
67,4607.0,3028.0,12,1579.0
71,3211.0,1974.0,12,1237.0
72,2889.0,1679.0,12,1210.0
73,2798.0,1711.0,12,1087.0
74,2632.0,1540.0,12,1092.0
75,2609.0,1415.0,12,1194.0
76,2263.0,1243.0,12,1020.0
77,2044.0,1071.0,12,973.0
8,3297.0,1816.0,12,1481.0
81,3858.0,2408.0,12,1450.0
82,4205.0,2613.0,12,1592.0
83,3128.0,1882.0,12,1246.0
84,3429.0,2065.0,12,1364.0
85,2925.0,1737.0,12,1188.0
86,2661.0,1588.0,12,1073.0
87,2577.0,1340.0,12,1237.0
88,2294.0,1167.0,12,1127.0
9,2404.0,1324.0,12,1080.0
90,4542.0,2963.0,12,1579.0
91,4451.0,3019.0,12,1432.0
93,4463.0,2694.0,12,1769.0
94,3574.0,2183.0,12,1391.0
95,3947.0,2299.0,12,1648.0
96,3380.0,2052.0,12,1328.0
97,2796.0,1494.0,12,1302.0
98,2429.0,1237.0,12,1192.0
99,2116.0,1084.0,12,1032.0
35,4272.0,2983.0,13,1289.0
36,3812.0,2467.0,13,1345.0
